the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,SiteID,BenchID,Category,BenchType,Installati,Address,GeocodeAdd,Street,CrossStree,Borough,ComDist,BusRoute,BID,Latitude,Longitude,FEMAFldz,FEMAFldT,HrcEvac
POINT (-73.89825258983161 40.641465753933794),3,Brooklyn,318,46,59,19,8,2580,1371,Municipal Facilities,backless,07/07/2014,1600 Rockaway Parkway,1596 Rockaway Parkway,Rockaway Parkway,Avenue J & Avenue K,Brooklyn,318,B42,Not Applicable,40.641474,-73.898254,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.82888160530916 40.756913728564705),4,Queens,407,20,40,16,6,495,145,Bus Route,backless,06/20/2012,41-51 Main Street (136-05 Sanford Avenue),41-57 Main Street,Main Street,Sanford Avenue and 41st Road,Queens,407,Q44,Not Applicable,40.756922,-73.828883,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00938755516412 40.630503759477264),3,Brooklyn,310,38,49,22,10,2481,1218,Health Care Facilities,backless,05/29/2014,6511 Fort Hamilton Parkway,6511 Fort Hamilton Parkway,Fort Hamilton Parkway,65th Street & 66th Street,Brooklyn,310,B16,Not Applicable,40.630512,-74.009389,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88578759333805 40.6650457483268),3,Brooklyn,305,42,60,19,8,2288,1577,General,backless,12/13/2013,665 New Lots Avenue,665 New Lots Avenue,New Lots Avenue,Barbey Street & Schenck Avenue,Brooklyn,305,B15,Not Applicable,40.665054,-73.885789,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.10951952667443 40.57068377554694),5,Staten Island,502,50,64,24,11,3196,2056,General,backed,04/13/2016,2488 Hylan Boulevard,2488 Hylan Boulevard,Hylan Boulevard,Jacques Avenue & New Dorp Lane,Staten Island,502,S78,Not Applicable,40.570692,-74.109521,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.87261259404808 40.718428738076305),4,Queens,405,30,30,15,6,3174,2011,General,backed,04/13/2016,64-59 Dry Harbor Road,64-59 Dry Harbor Road,Dry Harbor Road,64th Road & Furmanville Avenue,Queens,405,Q29,Not Applicable,40.718437,-73.872614,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00406255639535 40.633891758775704),3,Brooklyn,312,38,48,17,10,3281,2242,General,backed,05/21/2016,5801 Fort Hamilton Pkwy,5801 Fort Hamilton Pkwy,Fort Hamilton Pkwy,58th Street & 59th Street,Brooklyn,312,B16,Not Applicable,40.6339,-74.004064,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.78548862917616 40.595008759091215),4,Queens,414,31,31,10,5,4236,466,Bus Route,backless,02/05/2019,5422 Beach Channel Drive,5422 Beach Channel Drive,Beach Channel Drive,Beach 54th Street & Beach 55th Street,Queens,414,Q53,Not Applicable,40.595017,-73.78549,AE,,1
POINT (-73.93081157902988 40.655644752110824),3,Brooklyn,317,41,58,20,9,3714,83,Senior Safety,backed 2,05/20/2017,726 Utica Avenue,726 Utica Avenue,Utica Avenue,Lenox Road & Clarkson Avenue,Brooklyn,317,Not Applicable,Not Applicable,40.655653,-73.930813,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98986456311728 40.60574576432033),3,Brooklyn,311,44,47,22,11,2061,1354,General,backed,11/27/2013,7914 Bay Parkway,7914 Bay Parkway,Bay Parkway,78th & 79th Street,Brooklyn,311,Not Applicable,Not Applicable,40.605754,-73.989866,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9118615836955 40.66951774918699),3,Brooklyn,316,41,55,20,9,1761,326,BID,backed,02/21/2013,1665 Pitkin Avenue,1665 Pitkin Avenue,Pitkin Avenue,Bristol Street & Chester Street,Brooklyn,316,Not Applicable,Pitkin Avenue,40.669526,-73.911863,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84733360128226 40.72211173592063),4,Queens,406,29,28,16,6,1174,323,Senior Center,backed,12/12/2012,106-06 Queens Boulevard,106-06 Queens Boulevard,69th Road,Austin Street and Queens Boulevard,Queens,406,Not Applicable,Not Applicable,40.72212,-73.847335,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9399735761778 40.66337975142628),3,Brooklyn,309,41,43,20,9,2255,1160,Senior Center,backed,11/26/2013,483 Albany Avenue,483 Albany Avenue,Albany Avenue,Lefferts and Empire Boulevards,Brooklyn,309,Not Applicable,Not Applicable,40.663388,-73.939975,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84562460463918 40.68905174220298),4,Queens,409,32,38,10,7,4035,675,Bus Route,backless,04/27/2018,97-04 Atlantic Avenue,97-04 Atlantic Avenue,Atlantic Avenue,96th Street & 100th Street,Queens,409,Q24,Not Applicable,40.68906,-73.845626,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.11750752068873 40.63657876268457),5,Staten Island,501,49,61,23,11,2064,728,Community Health Centers,backless,08/08/2013,221 Broadway,221 Broadway,Broadway,Henderson Avenue and Winegar Lane,Staten Island,501,S54,Not Applicable,40.636587,-74.117509,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.94986857191883 40.671612750120296),3,Brooklyn,308,35,43,20,9,3455,1777,Bus Route,backless,11/03/2016,845 St Johns Place,845 St Johns Place,St Johns Place,New York Avenue & Nostrand Avenue,Brooklyn,308,B45,Not Applicable,40.671621,-73.94987,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.87108258704137 40.839650713881774),2,Bronx,209,15,87,33,15,4027,10,Bus Route,backed 2,03/06/2018,1280 East Tremont Avenue,1280 East Tremont Avenue,East Tremont Avenue,Van Nest Avenue & Rosedale Avenue,Bronx,209,BX40,Not Applicable,40.839659,-73.871084,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9493795644369 40.793754725807666),1,Manhattan,111,8,68,30,13,3173,1822,General,backed,10/28/2015,1573 Madison Avenue,1573 Madison Avenue,Madison Avenue,E. 106th Street and E. 107th Street,Manhattan,111,Not Applicable,Not Applicable,40.793763,-73.949381,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.93307857633097 40.68805974561546),3,Brooklyn,303,36,56,25,8,3214,2239,Municipal Facilities,backed,03/30/2016,210 Stuyvesant Avenue,210 Stuyvesant Avenue,Stuyvesant Avenue,Monroe Street & Gates Avenue,Brooklyn,303,Not Applicable,Not Applicable,40.688068,-73.93308,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95682056958105 40.67386674941182),3,Brooklyn,308,35,57,20,9,939,577,General,backed,05/28/2013,720 Franklin Avenue,720 Franklin Avenue,Franklin Avenue,Park Place and Sterling Place,Brooklyn,308,Not Applicable,Not Applicable,40.673875,-73.956822,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90861258299182 40.70153074283947),4,Queens,405,34,38,12,7,3501,117,Bus Route,backless 2,04/20/2017,712 Cypress Avenue,712 Cypress Avenue,Cypress Avenue,Palmetto Street & Woodbine Street,Queens,405,Q58,Not Applicable,40.701539,-73.908614,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97588956062562 40.71902074136295),1,Manhattan,103,2,74,26,7,2998,1741,Municipal Facilities,backless,01/22/2015,525 East Houston Street,525 East Houston Street,East Houston Street,Baruch Place & FDR Drive,Manhattan,103,M14AD,Not Applicable,40.719029,-73.975891,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.9357615812272 40.60127676274216),3,Brooklyn,315,46,41,19,9,3920,300,Senior Safety,backed 2,01/24/2018,3082 Avenue U,3082 Avenue U,Avenue U,Bragg Street & Brigham Street,Brooklyn,315,Not Applicable,Not Applicable,40.601285,-73.935763,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.92092257553966 40.77081172939757),4,Queens,401,22,36,12,12,3084,1865,General,backed,09/10/2015,27-02 Astoria Boulevard,27-02 Astoria Boulevard,Astoria Boulevard,Crescent Street & 28th Street,Queens,401,Not Applicable,Not Applicable,40.77082,-73.920924,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9372615791548 40.62216275940487),3,Brooklyn,318,45,41,19,9,4183,121,General,backed 2,09/25/2018,3832 KINGS HIGHWAY,3832 KINGS HIGHWAY,KINGS HIGHWAY,Ryder Street & Flatbush Avenue,Brooklyn,318,B82,Not Applicable,40.622171,-73.937263,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.86068659525448 40.756061729779226),4,Queens,403,21,35,13,14,3362,1382,Municipal Facilities,backless,09/07/2016,34-10 108th Street,34-10 108th Street,108th Street,34th Avenue & 35th Avenue,Queens,403,Q48,Not Applicable,40.75607,-73.860688,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75655762943882 40.7496797275528),4,Queens,411,23,25,16,6,4162,669,General,backed 2,03/14/2019,221-15 Horace Harding Expressway,221-15 Horace Harding Expressway,Horace Harding Expressway,Springfield Boulevard & 223rd Place,Queens,411,Not Applicable,Not Applicable,40.749688,-73.756559,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94399557206991 40.69850374454453),3,Brooklyn,303,36,56,18,7,1047,129,Senior Center,backless,09/26/2012,177 Throop Avenue,,Throop Avenue,Park Avenue and Ellery Street,Brooklyn,303,B43,Not Applicable,40.698512,-73.943997,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.95632826610097 40.652289343643176),3,Brooklyn,314,40,43,21,9,3892,304,Senior Safety,backed,08/23/2017,70 Linden Blvd,70 Linden Blvd,Linden Blvd,Caton Avenue & Bedford Avenue,Brooklyn,314,Not Applicable,Not Applicable,40.6522893436,-73.9563282661,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00922855079638 40.7043197451443),1,Manhattan,101,1,65,26,10,2041,733,General,backed,08/12/2013,10 Hanover Square,10 Hanover Square,Hanover Square,Water and Pearl Streets,Manhattan,101,Not Applicable,Alliance for Downtown New York,40.704328,-74.00923,AE,,1
POINT (-73.95278256462451 40.77646072888283),1,Manhattan,108,5,76,28,12,3852,553,General,backed 2,02/27/2018,1617 2nd Avenue,1617 2nd Avenue,2nd Avenue,E 83rd Street & E 84th Street,Manhattan,108,Not Applicable,Not Applicable,40.776469,-73.952784,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-74.00519555508265 40.655701754968995),3,Brooklyn,307,38,51,25,7,1607,389,General,backed,01/08/2013,153 35th Street,153 35th Street,35th Street,Fourth and Third Avenues,Brooklyn,307,Not Applicable,Not Applicable,40.65571,-74.005197,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.89863589618182 40.712610550205596),4,Queens,405,30,28,15,6,2527,691,General,backless,11/19/2014,62-16 Metropolitan Avenue,62-16 Metropolitan Avenue,Metropolitan Avenue,Fresh Pond Road and 62nd Street,Queens,405,Q54,Not Applicable,40.7126105502,-73.8986358962,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96394255931146 40.79775372570336),1,Manhattan,107,7,69,30,13,3342,215,Municipal Facilities,backed,08/03/2017,885 Columbus Avenue,885 Columbus Avenue,Columbus Avenue,W 104th Street & W 100th Street,Manhattan,107,Not Applicable,Not Applicable,40.797762,-73.963944,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.95552025586079 40.68043124355823),3,Brooklyn,303,36,57,25,8,1106,185,General,backed,09/27/2012,537 Franklin Avenue,537 Franklin Avenue,Franklin Avenue,Fulton Street and Lefferts Place,Brooklyn,303,Not Applicable,Not Applicable,40.6804312436,-73.9555202559,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.84579659534838 40.84400871186195),2,Bronx,210,13,82,34,14,2454,952,Health Care Facilities,backless,05/02/2014,1485 Williamsbridge Road,1485 Williamsbridge Road,Williamsbridge Road,St. Raymonds Avenue and Silver Street,Bronx,210,BX8,Westchester Square,40.844017,-73.845798,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93859256194862 40.841358722008536),1,Manhattan,112,10,72,31,13,3285,1924,Municipal Facilities,backed,05/24/2016,560 169th Street,560 169th Street,169th Street,St Nicholas Avenue & Audubon Avenue,Manhattan,112,Not Applicable,Not Applicable,40.841358722,-73.9385925619,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93067056630615 40.86078171240511),1,Manhattan,112,10,72,31,13,2984,1660,Municipal Facilities,backless,01/15/2015,4600 Broadway,4600 Broadway,Broadway,West 196th Street & Ellwood Street,Manhattan,112,M100,Not Applicable,40.86079,-73.930672,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.92815458134716 40.62588975788297),3,Brooklyn,318,45,41,21,8,4160,95,Bus Route,backed,09/13/2018,4915 Flatlands Ave,4915 Flatlands Ave,Flatlands Avenue,Utica Avenue & E 49th Street,Brooklyn,318,B82,Not Applicable,40.625898,-73.928156,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-73.91980458282616 40.652870752765075),3,Brooklyn,317,42,58,21,9,3712,12,Senior Safety,backed 2,05/20/2017,9006 Church Avenue,577 Remsen Avenue,Remsen Avenue,Remsen Avenue & Avenue A,Brooklyn,317,Not Applicable,Not Applicable,40.652879,-73.919806,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9074835800415 40.771665728560365),4,Queens,401,22,36,13,14,4030,238,Bus Route,backless 2,04/26/2018,22-73 Steinway Street,22-73 Steinway Street,Steinway Street,23rd Avenue & Ditmars Boulevard,Queens,401,Q101,Not Applicable,40.771674,-73.907485,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97724056369069 40.67210475020388),3,Brooklyn,306,39,52,20,9,4066,326,General,backless,11/02/2018,160 7th Avenue,160 7th Avenue,7th Avenue,Garfield Place & First Street,Brooklyn,306,B67,Not Applicable,40.672113,-73.977242,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75318163904649 40.60298875595709),4,Queens,414,31,23,10,5,2446,1736,Plaza,backed,12/09/2015,10-31 Beach 20th Street,10-31 Beach 20th Street,Plaza,Beach 20th & Beach 21st Street,Queens,414,Not Applicable,Not Applicable,40.602997,-73.753183,X,AREA OF MINIMAL FLOOD HAZARD,1
POINT (-73.93515243772529 40.796340698509255),1,Manhattan,111,8,68,29,13,3054,1833,General,backed,11/28/2014,2266 1st Avenue,2266 1st Avenue,1st Avenue,East 116th Street & East 117th Street,Manhattan,111,M15,Not Applicable,40.7963406985,-73.9351524377,AE,,3
POINT (-73.99125055416171 40.74225773726768),1,Manhattan,105,3,75,28,12,1770,561,General,backed,05/08/2013,53 West 23rd Street,53 West 23rd Street,West 23rd Street,5th and 6th Avenues,Manhattan,105,Not Applicable,Not Applicable,40.742266,-73.991252,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.90048557726547 40.84758771317469),2,Bronx,206,15,86,33,15,2589,1136,Municipal Facilities,backless,07/14/2014,410 E. Tremont Avenue,410 E. Tremont Avenue,E. Tremont Avenue,Webster Avenue and Park Avenue,Bronx,206,BX40,Not Applicable,40.847596,-73.900487,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93803256410501 40.85459671348646),1,Manhattan,112,10,71,31,13,1946,740,General,backed,07/19/2013,213 Pinehurst Avenue,213 Pinehurst Avenue,Pinehurst Avenue,W 185th & W187th Street,Manhattan,112,Not Applicable,Not Applicable,40.854605,-73.938034,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91990558012573 40.691698744383345),3,Brooklyn,304,34,54,18,7,2995,1591,Senior Center,backed,01/14/2015,1175 Gates Avenue,1175 Gates Avenue,Gates Avenue,Evergreen Avenue & Bushwick Avenue,Brooklyn,304,Not Applicable,Not Applicable,40.691707,-73.919907,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9005445745867 40.885310706397185),2,Bronx,208,11,81,34,13,3866,256,Senior Safety,backed 2,09/01/2017,5825 Broadway,5825 Broadway,W 238th Street,W 238th Street & W 240th Street,Bronx,208,Not Applicable,Not Applicable,40.885319,-73.900546,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-74.01583283603742 40.62622382091005),3,Brooklyn,310,43,46,22,11,2908,1370,Municipal Facilities,backless,12/24/2014,7400 Fort Hamilton Parkway,7400 Fort Hamilton Parkway,Fort Hamilton Parkway,73rd Street & 74th Street,Brooklyn,310,B16,Not Applicable,40.6262238209,-74.015832836,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97772880713111 40.72563573479123),1,Manhattan,103,2,74,27,12,1938,447,General,backed,07/23/2013,157 Avenue C,155-157 Avenue C,Avenue C,9th & 10th Street,Manhattan,103,Not Applicable,Not Applicable,40.7256357348,-73.9777288071,AE,,1
POINT (-73.94415156394442 40.82992971851077),1,Manhattan,109,7,71,30,13,3650,55,Senior Safety,backed 2,05/06/2017,1865 Amsterdam Avenue,1865 Amsterdam Avenue,Amsterdam Avenue,W. 152nd Street & W. 153rd Street,Manhattan,109,Not Applicable,Not Applicable,40.829938,-73.944153,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.75798962874175 40.74016672946497),4,Queens,411,23,24,11,6,3347,212,Municipal Facilities,backed,07/07/2016,73-28 Bell Boulevard,73-28 Bell Boulevard,Bell Boulevard,73rd Avenue & 73rd Road,Queens,411,Not Applicable,Not Applicable,40.740175,-73.757991,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93840556480296 40.84629071535887),1,Manhattan,112,10,72,31,13,3337,9013,Plaza,backless,12/01/2015,4140 Broadway,4140 Broadway,W. 175th Street,W. 175th Street & W. 176th Street,Manhattan,112,Not Applicable,Not Applicable,40.846299,-73.938407,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94414357168074 40.70250574315609),3,Brooklyn,301,34,53,18,7,3357,0,General,backed,07/18/2016,10 Manhattan Avenue,10 Manhattan Avenue,Manhattan Avenue,Cook Street & Varet Street,Brooklyn,301,Not Applicable,Not Applicable,40.702514,-73.944145,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.88039159034955 40.741366733890096),4,Queens,404,25,39,16,6,4218,647,Bus Route,backed 2,01/24/2019,8290 Broadway,8290 Broadway,Broadway,Whitney Avenue & 45th Avenue,Queens,404,Q52,Not Applicable,40.741375,-73.880393,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.85824659608207 40.750851730681426),4,Queens,404,21,39,13,14,2360,938,Senior Center,backed,02/07/2014,108-74 Roosevelt Avenue,108-74 Roosevelt Avenue,Roosevelt Avenue,108th & 11th Street,Queens,404,Not Applicable,Not Applicable,40.75086,-73.858248,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.74407863226409 40.765377724177746),4,Queens,411,19,26,11,3,1536,420,General,backless,02/05/2013,242-03 Northern Boulevard,242 - 03 Northern Boulevard,Northern Boulevard,Douglaston Parkway and 243rd Street,Queens,411,Q12,Not Applicable,40.765386,-73.74408,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.96604456785388 40.64970175452467),3,Brooklyn,314,40,42,21,9,2636,1204,Municipal Facilities,backed,07/24/2014,18 Marlborough Road,18 Marlborough Road,Marlborough Road,Caton Avenue & Church Avenue,Brooklyn,314,Not Applicable,Not Applicable,40.64971,-73.966046,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.94677556635932 40.784687727093285),1,Manhattan,111,5,68,29,12,3845,190,General,backed 2,07/05/2017,1879 2nd Avenue,1879 2nd Avenue,2nd Avenue,E 97th Street & E 96th Street,Manhattan,108,Not Applicable,Not Applicable,40.784696,-73.946777,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,4
POINT (-73.97882661169608 40.64293322942098),3,Brooklyn,312,39,44,21,10,1021,22,Plaza,backed,05/30/2012,114 Beverley Road,114 Beverley Road,Beverly Road,Church Ave and East 2nd Street,Brooklyn,312,Not Applicable,Not Applicable,40.6429332294,-73.9788266117,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93840556480296 40.84629071535887),1,Manhattan,112,10,72,31,13,3337,9006,Plaza,backed,12/01/2015,4140 Broadway,4140 Broadway,W. 175th Street,W. 175th Street & W. 176th Street,Manhattan,112,Not Applicable,Not Applicable,40.846299,-73.938407,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97984855993688 40.71590874170991),1,Manhattan,103,2,74,26,7,2997,1552,Municipal Facilities,backless,01/20/2015,288 Delancey Street,335 Delancey Street,Delancey Street,Mangin Street & FDR Drive,Manhattan,103,M14AD,Not Applicable,40.715917,-73.97985,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.99523955426747 40.72590174027149),1,Manhattan,102,1,66,26,12,2217,1096,General,backed,11/12/2013,167 Crosby Street,167 Crosby Street,Bleeker Street,Bleeker Street and Lafayette Streets,Manhattan,102,Not Applicable,NOHO NY,40.72591,-73.995241,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99602055162391 40.75887973401888),1,Manhattan,104,3,75,27,10,4022,483,General,backed 2,04/30/2018,555 10th Avenue,555 10th Avenue,10th Avenue,West 40th Street & West 41st Street,Manhattan,104,Not Applicable,Hudson Yards/Hell&#39;s Kitchen,40.758888,-73.996022,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.98279555864347 40.71404574245261),1,Manhattan,103,1,65,26,7,4094,585,General,backed,12/20/2018,301 Henry Street,301 Henry Street,Henry Street,Grand Street & Samuel Dickstein Plaza,Manhattan,103,Not Applicable,Not Applicable,40.714054,-73.982797,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.82136061152356 40.69573274068258),4,Queens,409,28,24,10,5,4034,472,Bus Route,backless,04/27/2018,126-98 Atlantic Avenue,126-98 Atlantic Avenue,Atlantic Avenue,125th Street & 127th Street,Queens,409,Q24,Not Applicable,40.695741,-73.821362,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9929105537222 40.743799737087926),1,Manhattan,104,3,75,27,12,1384,411,General,backed,12/19/2012,108 West 24th Street,108 West 24th Street,West 24th Street,6th and 7th Avenues,Manhattan,104,Not Applicable,Not Applicable,40.743808,-73.992912,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.83143560738655 40.70603273845518),4,Queens,409,29,27,14,6,3627,73,General,backed 2,05/13/2017,119-20 Metropolitan Avenue,119-20 Metropolitan Avenue,Metropolitan Avenue,Lefferts Blvd & Brevoort Street,Queens,409,Not Applicable,Not Applicable,40.706041,-73.831437,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.97969255655005 40.776902730395264),1,Manhattan,107,6,67,27,10,899,1205,General,backed,10/01/2012,111 West 71st Street,111 West 71st Street,West 71st Street,Columbus Avenue & Broadway,Manhattan,107,Not Applicable,Not Applicable,40.776911,-73.979694,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99377055399765 40.73579873827285),1,Manhattan,102,3,66,27,10,3078,0,General,,06/05/2015,80 5th Avenue,80 5th Avenue,5th Avenue,East 13th Street & East 14th Street,Manhattan,102,M01,Union Square Partnership,40.735807,-73.993772,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.94160257229262 40.7005197434167),3,Brooklyn,303,36,56,18,7,1060,1867,Senior Center,backed,09/18/2012,760 Broadway,21 Park Avenue,Marcus Garvey Boulevard,Throop Avenue and Marcus Garvey Boulevard,Brooklyn,303,Not Applicable,Not Applicable,40.700528,-73.941604,X,AREA OF MINIMAL FLOOD HAZARD,5
POINT (-73.89392658596421 40.739908734751545),4,Queens,402,26,34,12,6,3543,2331,Bus Route,backless,12/09/2016,70-01 Queens Boulevard,70-01 Queens Boulevard,Queens Boulevard,70th Street & 74th Street,Queens,402,Q60,Not Applicable,40.739917,-73.893928,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.99277955546161 40.723620740590945),1,Manhattan,103,1,65,26,7,2999,1497,Municipal Facilities,backless,01/20/2015,273 Bowery,273 Bowery,Bowery,East Houston Street & Stanton Street,Manhattan,103,M103,Not Applicable,40.723629,-73.992781,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.91493957496138 40.810841721246696),2,Bronx,201,8,84,29,15,2432,834,Senior Center,backless,04/23/2014,401 St. Anns Avenue,401 St. Anns Avenue,St. Anns Avenue,E 143rd Street and E 144th street,Bronx,201,BX17,Not Applicable,40.81085,-73.914941,X,AREA OF MINIMAL FLOOD HAZARD,6
POINT (-73.9149405761265 40.77912972714888),4,Queens,401,22,36,12,14,1908,663,General,backed,06/18/2013,24-17 Ditmars Boulevard,24-17 Ditmars Boulevard,Ditmars Boulevard,Crescent Street & 24th Street,Queens,401,Not Applicable,Not Applicable,40.779138,-73.914942,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.89098458127383 40.820425718659855),2,Bronx,202,17,85,32,15,3733,61,Bus Route,backless 2,06/29/2017,925 Hunts Point Avenue,925 Hunts Point Avenue,Hunts Point Avenue,Southern Blvd & Bruckner Blvd,Bronx,202,BX6,Not Applicable,40.820434,-73.890986,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.77090762327842 40.76344472566204),4,Queens,411,19,26,11,6,1514,329,BID,backed,01/28/2013,41-06 Bell Blvd,41-06 Bell Blvd,Bell Blvd,41st and 42nd Avenues,Queens,411,Not Applicable,Bell Blvd BBA,40.763453,-73.770909,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9001165896229 40.643169753289044),3,Brooklyn,318,46,59,19,8,2579,1238,Municipal Facilities,backless,07/07/2014,1535 Rockaway Parkway,1535 Rockaway Parkway,Rockaway Parkway,Avenue J & Flatlands Avenue,Brooklyn,318,B42,Not Applicable,40.643178,-73.900118,X,AREA OF MINIMAL FLOOD HAZARD,4
POINT (-74.00969755454868 40.63536175850416),3,Brooklyn,307,38,49,20,7,2285,1375,General,backless,12/16/2013,6010 8th Avenue,6010 8th Avenue,8th Avenue,60th & 61st Street,Brooklyn,307,B70,Not Applicable,40.63537,-74.009699,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.98402155626255 40.746277736317865),1,Manhattan,105,2,75,28,12,427,0,Bus Route,backless,04/09/2013,145 & 147 Madison Ave,147 Madison Ave,Madison Avenue,E31st Street & E32nd Street,Manhattan,105,M04,Not Applicable,40.746286,-73.984023,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.9052845835307 40.71119474020672),4,Queens,405,30,37,15,6,3308,2343,Municipal Facilities,backed,05/27/2016,62-85 Forest Avenue,62-85 Forest Avenue,Forest Avenue,Bleecker Street & Metropolitan Avenue,Queens,405,Not Applicable,Not Applicable,40.711203,-73.905286,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.88299259455324 40.65157375107127),3,Brooklyn,305,42,60,19,8,3603,2429,General,backed,05/20/2017,177 Vandalia Avenue,177 Vandalia Avenue,Vandalia Avenue,Ardsley Loop & Ardsley Loop,Brooklyn,305,B83,Not Applicable,40.651582,-73.882994,X,AREA OF MINIMAL FLOOD HAZARD,3
POINT (-73.88928158204688 40.818760718608495),2,Bronx,202,17,85,32,15,1782,1031,General,backed,11/14/2013,875 Hunts Point Avenue,875 Hunts Point Avenue,Hunts Point Avenue,Seneca Avenue & Garrison Avenue,Bronx,202,Not Applicable,Not Applicable,40.818769,-73.889283,X,AREA OF MINIMAL FLOOD HAZARD,
POINT (-73.93201457306992 40.752233733153915),4,Queens,401,26,37,12,12,2068,766,Community Health Centers,backed,08/05/2013,32-03 39th Avenue,32-03 39th Avenue,32nd Street,38th and 39th Avenues,Queens,401,Not Applicable,Not Applicable,40.752242,-73.932016,X,AREA OF MINIMAL FLOOD HAZARD,5
